time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,72,47,435,181
2025-09-10 00:00:00+00:00,66,40,390,158
2025-09-11 00:00:00+00:00,69,42,449,169
2025-09-12 00:00:00+00:00,111,55,410,160
2025-09-13 00:00:00+00:00,45,34,144,79
2025-09-14 00:00:00+00:00,34,33,112,76
2025-09-15 00:00:00+00:00,183,168,442,193
2025-09-16 00:00:00+00:00,67,48,378,174
2025-09-17 00:00:00+00:00,71,50,465,198
2025-09-18 00:00:00+00:00,95,48,456,182
2025-09-19 00:00:00+00:00,98,64,325,147
2025-09-20 00:00:00+00:00,49,35,116,71
2025-09-21 00:00:00+00:00,100,53,140,79
2025-09-22 00:00:00+00:00,93,53,439,180
