time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-18 00:00:00+00:00,108,91,190,61
2024-05-19 00:00:00+00:00,94,76,153,53
2024-05-20 00:00:00+00:00,106,88,642,173
2024-05-21 00:00:00+00:00,251,175,794,217
2024-05-22 00:00:00+00:00,262,218,930,243
2024-05-23 00:00:00+00:00,246,198,544,182
2024-05-24 00:00:00+00:00,161,111,739,185
2024-05-25 00:00:00+00:00,120,99,246,69
2024-05-26 00:00:00+00:00,83,62,342,87
2024-05-27 00:00:00+00:00,102,73,526,169
2024-05-28 00:00:00+00:00,190,151,650,207
2024-05-29 00:00:00+00:00,122,87,688,208
2024-05-30 00:00:00+00:00,88,75,693,227
2024-05-31 00:00:00+00:00,121,97,516,168
