time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,86,54,164,105
2026-05-07 00:00:00+00:00,102,55,201,90
2026-05-08 00:00:00+00:00,61,50,208,110
2026-05-09 00:00:00+00:00,52,31,128,70
2026-05-10 00:00:00+00:00,44,26,58,41
2026-05-11 00:00:00+00:00,109,63,145,100
2026-05-12 00:00:00+00:00,172,127,200,106
2026-05-13 00:00:00+00:00,153,84,217,114
2026-05-14 00:00:00+00:00,93,55,149,93
2026-05-15 00:00:00+00:00,85,49,199,98
2026-05-16 00:00:00+00:00,55,34,120,53
2026-05-17 00:00:00+00:00,43,29,82,59
2026-05-18 00:00:00+00:00,96,58,167,101
2026-05-19 00:00:00+00:00,88,44,157,102
