time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,19,12,651,189
2024-08-31 00:00:00+00:00,16,14,160,57
2024-09-01 00:00:00+00:00,18,15,206,81
2024-09-02 00:00:00+00:00,20,17,444,133
2024-09-03 00:00:00+00:00,23,16,564,187
2024-09-04 00:00:00+00:00,32,27,651,186
2024-09-05 00:00:00+00:00,15,14,623,200
2024-09-06 00:00:00+00:00,25,17,623,168
2024-09-07 00:00:00+00:00,15,14,154,63
2024-09-08 00:00:00+00:00,9,8,166,73
2024-09-09 00:00:00+00:00,15,11,634,187
2024-09-10 00:00:00+00:00,25,18,711,222
2024-09-11 00:00:00+00:00,26,23,571,212
2024-09-12 00:00:00+00:00,27,22,678,209
