time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,93,58,1009,209
2023-10-27 00:00:00+00:00,90,56,604,166
2023-10-28 00:00:00+00:00,33,19,214,63
2023-10-29 00:00:00+00:00,41,15,231,70
2023-10-30 00:00:00+00:00,94,56,630,164
2023-10-31 00:00:00+00:00,77,40,691,174
2023-11-01 00:00:00+00:00,139,104,588,213
2023-11-02 00:00:00+00:00,67,36,606,187
2023-11-03 00:00:00+00:00,60,30,445,159
2023-11-04 00:00:00+00:00,53,28,241,74
2023-11-05 00:00:00+00:00,28,16,267,87
2023-11-06 00:00:00+00:00,62,40,659,177
2023-11-07 00:00:00+00:00,93,49,715,192
2023-11-08 00:00:00+00:00,85,38,623,176
