time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-19 00:00:00+00:00,77,54,809,210
2023-10-20 00:00:00+00:00,69,41,578,190
2023-10-21 00:00:00+00:00,32,22,297,68
2023-10-22 00:00:00+00:00,37,23,249,75
2023-10-23 00:00:00+00:00,105,52,736,224
2023-10-24 00:00:00+00:00,95,54,873,231
2023-10-25 00:00:00+00:00,97,55,816,209
2023-10-26 00:00:00+00:00,93,58,1009,209
2023-10-27 00:00:00+00:00,90,56,604,166
2023-10-28 00:00:00+00:00,33,19,214,63
2023-10-29 00:00:00+00:00,41,15,231,70
2023-10-30 00:00:00+00:00,94,56,630,164
2023-10-31 00:00:00+00:00,77,40,691,174
2023-11-01 00:00:00+00:00,138,103,574,207
