time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,65,50,369,179
2025-11-22 00:00:00+00:00,41,29,233,131
2025-11-23 00:00:00+00:00,41,26,224,96
2025-11-24 00:00:00+00:00,49,40,377,194
2025-11-25 00:00:00+00:00,75,42,385,177
2025-11-26 00:00:00+00:00,75,52,416,190
2025-11-27 00:00:00+00:00,56,41,414,179
2025-11-28 00:00:00+00:00,73,51,362,162
2025-11-29 00:00:00+00:00,49,27,188,106
2025-11-30 00:00:00+00:00,36,25,230,113
2025-12-01 00:00:00+00:00,233,177,486,218
2025-12-02 00:00:00+00:00,97,50,538,214
2025-12-03 00:00:00+00:00,212,90,467,207
2025-12-04 00:00:00+00:00,79,50,432,241
