time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-07 00:00:00+00:00,29,20,529,184
2024-08-08 00:00:00+00:00,37,25,516,177
2024-08-09 00:00:00+00:00,30,24,437,128
2024-08-10 00:00:00+00:00,17,15,119,67
2024-08-11 00:00:00+00:00,11,8,170,55
2024-08-12 00:00:00+00:00,33,25,539,174
2024-08-13 00:00:00+00:00,23,19,698,200
2024-08-14 00:00:00+00:00,13,12,684,179
2024-08-15 00:00:00+00:00,20,16,533,164
2024-08-16 00:00:00+00:00,15,12,482,168
2024-08-17 00:00:00+00:00,15,12,221,70
2024-08-18 00:00:00+00:00,14,11,195,86
2024-08-19 00:00:00+00:00,16,13,738,226
2024-08-20 00:00:00+00:00,29,15,766,202
