time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,61,43,399,190
2026-02-13 00:00:00+00:00,88,59,231,129
2026-02-14 00:00:00+00:00,47,32,117,78
2026-02-15 00:00:00+00:00,190,153,94,57
2026-02-16 00:00:00+00:00,64,47,188,108
2026-02-17 00:00:00+00:00,49,40,337,146
2026-02-18 00:00:00+00:00,69,54,386,162
2026-02-19 00:00:00+00:00,57,41,287,148
2026-02-20 00:00:00+00:00,58,46,307,152
2026-02-21 00:00:00+00:00,166,36,146,95
2026-02-22 00:00:00+00:00,176,154,130,87
2026-02-23 00:00:00+00:00,124,62,583,217
2026-02-24 00:00:00+00:00,78,50,468,191
2026-02-25 00:00:00+00:00,113,73,442,211
