time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-15 00:00:00+00:00,183,168,442,193
2025-09-16 00:00:00+00:00,67,48,378,174
2025-09-17 00:00:00+00:00,71,50,465,198
2025-09-18 00:00:00+00:00,95,48,456,182
2025-09-19 00:00:00+00:00,98,64,325,147
2025-09-20 00:00:00+00:00,49,35,116,71
2025-09-21 00:00:00+00:00,100,53,140,79
2025-09-22 00:00:00+00:00,103,60,446,185
2025-09-23 00:00:00+00:00,97,59,409,187
2025-09-24 00:00:00+00:00,94,57,398,184
2025-09-25 00:00:00+00:00,74,53,323,156
2025-09-26 00:00:00+00:00,98,64,302,140
2025-09-27 00:00:00+00:00,63,46,117,65
2025-09-28 00:00:00+00:00,442,40,151,81
